word,ahpa,disc
hog,hag,NA
immortalize,Imort@l2z,Im$t@l2z
incarcerate,Inkars3et,Ink#s@r1t
ingratiate,IngreSiet,NA
jabber,_{b3,NA
knight,n2t,n2t
laud,lQd,l$d
plumb,plVm,plVm
pole,pol,p5l
prospect,praspEkt,NA
radio,redio,r1dI5
regiment,rE_ImEnt,rE_ImEnt
robe,rob,r5b
roughen,rVf@n,rVfH
sentimentalize,sEntImEnt@l2z,sEntImEntP2z
slurp,sl3p,sl3p
snicker,snIk3,snIk@R
spook,spuk,spuk
stomach,stVm@k,NA
stratify,str{tIf2,str{tIf2
sub,sVb,NA
vacation,vekeS@n,NA
commercialize,k@m3S@l2z,k@m3S@l2z
distance,dIst@ns,dIst@ns
hive,h2v,h2v
snowball,snobQl,sn5b$l
connive,k@n2v,NA
exit,EgzIt,EksIt
proselytize,prQs@lIt2z,NA
bankrupt,b{NkrVpt,b{NkrVpt
broil,br4l,br4l
burble,b3b@l,b3bP
chastise,J{st2z,J{st2z
climax,kl2m{ks,kl2m{ks
clout,kl6t,kl6t
dirty,d3ti,d3tI
disburse,dIsb3s,dIsb3s
flabbergast,fl{b3g{st,fl{b@g#st
floor,flor,fl$R
flounce,fl6ns,fl6ns
ford,ford,f$d
furl,f3l,f3l
granulate,gr{njUlet,gr{njUl1t
grudge,grV_,grV_
hearten,hart@n,h#tH
hone,hon,h5n
index,IndEks,IndEks
intuit,IntuIt,IntjuIt
mist,mIst,mIst
mottle,mat@l,mQtP
notch,naJ,nQJ
ping,pIN,pIN
plummet,plVmIt,NA
pot,pat,NA
proportion,pr@porS@n,pr@p$SH
quip,kwIp,kwIp
ruminate,rumInet,rumIn1t
sate,set,s1t
scythe,s2D,s2D
second,sEk@nd,sIkQnd
second,sEk@nd,sEk@nd
sensitize,sEnsIt2z,sEnsIt2z
slim,slIm,slIm
snag,sn{g,sn{g
spirit,spirIt,spIrIt
strafe,stref,str#f
strum,strVm,strVm
sully,sVli,sVlI
swindle,swInd@l,swIndP
tender,tEnd3,tEnd@R
trounce,tr6ns,tr6ns
truncate,trVNket,trVNk1t
verbalize,v3b@l2z,v3b@l2z
wangle,w{Ng@l,w{NgP
winter,wInt3,wInt@R
yap,j{p,NA
telex,tElEks,NA
incinerate,InsIn@ret,InsIn@r1t
bell,bEl,NA
gutter,gVt3,gVt@R
addle,{d@l,{dP
blockade,blaked,blQk1d
bludgeon,blV_@n,blV_@n
brutalize,brut@l2z,brut@l2z
cheek,Jik,Jik
clack,kl{k,NA
crate,kret,kr1t
crook,krUk,krUk
daub,dQb,d$b
depreciate,dIpriSiet,dIpriSI1t
dunk,dVNk,dVNk
dynamite,d2n@m2t,d2n@m2t
electrocute,IlEktr@kjut,IlEktr@kjut
exhume,Egzum,Ekshjum
feint,fent,f1nt
filch,fIlJ,fIlJ
gall,gQl,g$l
gash,g{S,g{S
ghost,gost,g5st
host,host,h5st
huff,hVf,hVf
ingest,In_Est,In_Est
marinate,merInet,m{rIn1t
moulder,mold3,NA
moult,molt,m5lt
perjure,p3_3,p3_@R
raze,rez,r1z
remit,rImIt,rImIt
repatriate,ripetriet,rip{trI1t
satiate,seSiet,s1SI1t
scrunch,skrVnJ,skrVnJ
snooze,snuz,snuz
snuffle,snVf@l,snVfP
staunch,stQnJ,st$nJ
subpoena,s@pin@,s@bpin@
sugar,SUg3,SUg@R
swaddle,swad@l,swQdP
systematize,sIstIm@t2z,sIstIm@t2z
trill,trIl,trIl
vaporize,vep@r2z,v1p@r2z
wed,wEd,wEd
liberalize,lIb3@l2z,lIb@r@l2z
vandalize,v{nd@l2z,v{nd@l2z
adjudicate,@_udIket,NA
apportion,@porS@n,@p$SH
bide,b2d,NA
calve,k{v,NA
carp,karp,NA
caw,kQ,k$
chaff,J{f,J#f
commune,k@mjun,k@mjun
compartmentalize,kampartmEnt@l2z,kQmp#tmEntP2z
desolate,dEs@let,dEs@l1t
enfeeble,Infib@l,InfibP
hose,hoz,NA
joint,_4nt,_4nt
machine,m@Sin,m@Sin
moo,mu,mu
mutate,mjutet,mjut1t
niggle,nIg@l,nIgP
obtrude,@btrud,@btrud
prostitute,prQstItut,prQstItjut
quiz,kwIz,kwIz
reflate,riflet,NA
scotch,skaJ,skQJ
skirmish,sk3mIS,sk3mIS
snoop,snup,NA
sock,sak,sQk
strand,str{nd,str{nd
swipe,sw2p,sw2p
traipse,treps,tr1ps
tranquillize,tr{NkwIl2z,tr{NkwIl2z
chaperon,S{p@ron,NA
bop,bap,bQp
rile,r2l,r2l
adjure,@_ur,@_9R
anglicize,{NglIs2z,{NglIs2z
annul,@nVl,@nVl
bloat,blot,bl5t
buoy,b4,b4
burp,b3p,b3p
craft,kr{ft,kr#ft
crap,kr{p,kr{p
drat,dr{t,NA
edify,EdIf2,NA
enervate,En3vet,En3v1t
equivocate,IkwIv@ket,IkwIv@k1t
firm,f3m,f3m
genuflect,_EnjuflEkt,_EnjuflEkt
goof,guf,guf
gripe,gr2p,NA
gyrate,_2ret,NA
home,hom,h5m
immunize,ImjUn2z,Imjun2z
impact,Imp{kt,Imp{kt
joggle,_ag@l,_QgP
K4,keo,NA
lampoon,l{mpun,l{mpun
lime,l2m,NA
mint,mInt,mInt
muss,mVs,mVs
muzzle,mVz@l,mVzP
perk,p3k,p3k
pommel,pVm@l,pVmP
rail,rel,r1l
ready,rEdi,rEdI
replicate,rEplIket,rEplIk1t
sand,s{nd,s{nd
scab,sk{b,sk{b
skewer,skju3,skju@R
slake,slek,sl1k
slander,sl{nd3,sl#nd@R
slug,slVg,slVg
syndicate,sIndIket,sIndIk1t
table,teb@l,t1bP
tamp,t{mp,t{mp
tout,t6t,t6t
vilify,vIlIf2,vIlIf2
warble,worb@l,NA
x-ray,Eksre,Eksr1
xerox,ziraks,NA
jilt,_Ilt,_Ilt
situate,sIJuet,NA
jib,_Ib,_Ib
route,rut,rut
slight,sl2t,sl2t
aver,@v3,@v3R
bung,bVN,bVN
cadge,k{_,NA
canonize,k{n@n2z,k{n@n2z
caparison,k@perIs@n,k@p{rIsH
case,kes,k1s
cipher,s2f3,s2f@R
clerk,kl3rk,NA
coagulate,ko{gjUlet,k5{gjUl1t
collude,k@lud,k@lud
convalesce,kanv@lEs,NA
counterfeit,k6nt3fIt,NA
curry,k3i,kVrI
debauch,dIbQJ,dIb$J
defame,dIfem,dIf1m
discomfit,dIskVmfIt,dIskVmfIt
energize,En3_2z,NA
fizzle,fIz@l,fIzP
gambol,g{mb@l,g{mbP
holiday,hal@de,hQl@d1
hood,hUd,hUd
incise,Ins2z,Ins2z
lamb,l{m,NA
leaven,lEv@n,lEvH
lisp,lIsp,lIsp
mat,m{t,m{t
mire,m23,m2@R
mob,mab,mQb
muff,mVf,mVf
nerve,n3v,n3v
oxygenate,aksI_@net,QksI_@n1t
puddle,pVd@l,pVdP
refract,rIfr{kt,rIfr{kt
regurgitate,rIg3_Itet,rIg3_It1t
scalp,sk{lp,sk{lp
serenade,ser@ned,sEr@n1d
shrimp,SrImp,NA
slate,slet,sl1t
sniffle,snIf@l,snIf@l
stable,steb@l,st1bP
vacillate,v{s@let,NA
wager,we_3,NA
mummify,mVmIf2,mVmIf2
debit,dEbIt,dEbIt
swot,swat,NA
grit,grIt,NA
propagandize,prap@g{nd2z,prQp@g{nd2z
adduce,@dus,@djus
adulterate,@dVlt@ret,@dVlt@r1t
advantage,@dv{ntI_,@dv#ntI_
amortize,{mort2z,@m$t2z
arraign,@ren,@r1n
article,artIk@l,#tIkP
ballot,b{l@t,NA
cuss,kVs,NA
dandle,d{nd@l,d{ndP
decelerate,disEl@ret,NA
defraud,dIfrQd,dIfr$d
dupe,dup,djup
enrapture,Inr{pJ3,Inr{pJ@R
eulogize,jul@_2z,jul@_2z
expunge,IkspVn_,IkspVn_
fulminate,fVlmInet,NA
girdle,g3d@l,g3dP
gladden,gl{d@n,gl{dH
glut,glVt,glVt
haze,hez,h1z
impugn,Impjun,Impjun
inconvenience,Ink@nvinj@ns,Ink@nvinj@ns
initial,InIS@l,InISP
jet,_Et,_Et
keen,kin,NA
laminate,l{mInet,l{mIn1t
laze,lez,NA
leg,lEg,lEg
lilt,lIlt,NA
limber,lImb3,NA
manacle,m{n@k@l,m{n@kP
merchandise,m3J@nd2z,NA
nab,n{b,n{b
nettle,nEt@l,nEtP
parole,p@rol,p@r5l
particularize,partIkjUl32z,p@tIkjUl@r2z
pique,pik,pik
plate,plet,pl1t
predicate,prEdIket,prEdIk1t
prevaricate,prIverIket,prIv{rIk1t
puke,pjuk,NA
recess,rIsEs,rIsEs
rendezvous,randIvu,NA
requisition,rEkwIzIS@n,rEkwIzISH
resuscitate,rIsVsItet,rIsVsIt1t
rusticate,rVstIket,rVstIk1t
salve,s{lv,NA
splice,spl2s,spl2s
splurge,spl3_,spl3_
swab,swab,NA
toe,to,NA
trawl,trQl,NA
vaunt,vQnt,v$nt
vegetate,vE_Itet,vE_It1t
volley,vali,NA
winch,wInJ,wInJ
